tweet_id,user_name,rt_count,tweet_text,user_created_date,user_initial_follower,user_end_follower,user_initial_fav,user_end_fav,user_state,user_party,user_incumbency,state_tossup,state_twitter_user,state_population,user_fullname,gender,obama_support,type,sm_type,sm_focus,cta_1,cta_2,info_1,info_2,origin_screen_name,origin_created_at,origin_followers,origin_user_created_at,origin_favorites,origin_text,origin_media,age
5.23825E+17,iowasteam,3,"Branstadâ€°Ã›Âªs ""record demonstrates that he is superbly qualified to lead this state for another 4 years.â€°Ã›Âù- Ft Dodge @Messenger_News #iagov", Tue Jul 02 15:06:30 +0000 2013 ,1735,1998,46,48,iowa,republican,Incumbent,0,13625,3107126,terry branstad,M,TRUE,Strategic Message,Advocacy,Image,NA,NA,NA,NA,iowasteam,Sun Oct 19 13:17:24 +0000 2014,1802,Tue Jul 02 15:06:30 +0000 2013,0,"Branstadâ€™s ""record demonstrates that he is superbly qualified to lead this state for another 4 years.â€ù- Ft Dodge @Messenger_News #iagov",NULL,473.9242361
5.23827E+17,iowasteam,1,"""The state's budget is balancedâ€°Ã›_State government is leaner &amp; more efficientâ€°Ã›_Property taxes have been reformedâ€°Ã›Âù - @Messenger_News #iagov", Tue Jul 02 15:06:30 +0000 2013 ,1735,1998,46,48,iowa,republican,Incumbent,0,13625,3107126,terry branstad,M,TRUE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,iowasteam,Sun Oct 19 13:25:20 +0000 2014,1802,Tue Jul 02 15:06:30 +0000 2013,0,"""The state's budget is balancedâ€_State government is leaner &amp; more efficientâ€_Property taxes have been reformedâ€ù - @Messenger_News #iagov",NULL,473.9297454
5.23842E+17,teamcuomo,0,RT @JustinWagner12: Thrilled to join @KathyHochul this AM @ rally for #WomensEquality -- honored to have her &amp; @TeamCuomo's endorsement! htÃ_Ã__, Wed May 21 21:53:10 +0000 2014 ,258,443,0,3,new york,democrat,Incumbent,0,162645,19746227,andrew cuomo,M,TRUE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,teamcuomo,Sun Oct 19 14:25:49 +0000 2014,247,Wed May 21 21:53:10 +0000 2014,0,RT @JustinWagner12: Thrilled to join @KathyHochul this AM @ rally for #WomensEquality -- honored to have her &amp; @TeamCuomo's endorsement! htâ€_,photo,150.6893403
5.23843E+17,jeff4gov,1,"""We need to look at dedicating a hospital and staff devoted to handling a potential ebola outbreak""  #FOX9Debate", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:26:20 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"""We need to look at dedicating a hospital and staff devoted to handling a potential ebola outbreak""  #FOX9Debate",NULL,572.0459375
5.23845E+17,jeff4gov,4,"Dayton just said he has always supported a single payer healthcare system. If he had a magic wand, that's what he would do #FOX9Debate", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:37:00 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"Dayton just said he has always supported a single payer healthcare system. If he had a magic wand, that's what he would do #FOX9Debate",NULL,572.0533449
5.23846E+17,jeff4gov,0,RT @EyeOnPolitics: Yep.  That's the Democrat goal. â€°Ã›Ãè@jeffbakken: Did Dayton say he supports single-payer health care?â€°Ã›Âù, Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:38:02 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,RT @EyeOnPolitics: Yep.  That's the Democrat goal. â€œ@jeffbakken: Did Dayton say he supports single-payer health care?â€ù,NULL,572.0540625
5.23846E+17,jeff4gov,1,"Dayton:  ""MNSure is far from perfect"".", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:39:25 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"Dayton:  ""MNSure is far from perfect"".",NULL,572.0550231
5.23846E+17,jeff4gov,0,"RT @GreggPeppin: Dayton gave himself a grade of ""D"" on MNsure at @mnstatefair", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:40:07 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"RT @GreggPeppin: Dayton gave himself a grade of ""D"" on MNsure at @mnstatefair",NULL,572.0555093
5.23846E+17,jeff4gov,0,"RT @timpugmire: On MNsure, Dayton says far from perfect. Johnson says it's disaster.", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:40:31 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"RT @timpugmire: On MNsure, Dayton says far from perfect. Johnson says it's disaster.",NULL,572.055787
5.23846E+17,jeff4gov,4,"""I recognize that the underemployment rate in 53% in MN.  That is much much higher than it should be.""  #FOX9Debate", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Issue,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:41:36 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"""I recognize that the underemployment rate in 53% in MN.  That is much much higher than it should be.""  #FOX9Debate",NULL,572.0565394
5.23847E+17,jeff4gov,2,"""B/c of our tax&amp;regulatory structure, the good jobs R being created in states around us-we're leaving too many ppl behind"" #Fox9Debate", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Issue,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:42:59 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"""B/c of our tax&amp;regulatory structure, the good jobs R being created in states around us-we're leaving too many ppl behind"" #Fox9Debate",NULL,572.0575
